screen_name,followers_count,following_count,post_count,account_age_days
click_here_deals,5,3995,3790,87
lurker_style,48,1000,36,191
insta_growth_hack,8,2126,475,11
dev_omar,1458,164,129,1281
carla_bakes,1811,408,661,3259
narrative_push_y,61,1904,2973,341
nina_reads,2741,778,1165,3332
mixed_signal_v,391,416,366,1134
aisha_teaches,1630,140,322,911
tom_writes,994,202,638,1403
sophie_runs,1550,412,304,796
half_active_j,489,1130,85,1003
amplify_now_1,128,2021,1876,555
trend_boost_ai,9,3587,1227,33
viral_trend_push,21,2370,3426,77
crypto_pump_x9,15,1913,481,15
spam_link_relay,36,3707,965,36
jake_photography,257,807,1121,3705
market_signal_bot,15,4866,197,12
daily_giveaway77,16,2169,2613,73
new_here_2024,34,498,291,520
sam_hikes,1919,663,264,1302
part_time_poster,236,252,127,1089
follow4follow_88,30,2085,1480,55
liu_wei_art,106,837,1953,3960
boost_ring_a2,131,1123,1716,300
bulk_engage_net,28,3890,2604,79
promo_bot_212,18,4374,1771,31
airdrop_claim_now,26,2596,809,45
echo_chamber_10,47,2080,1959,409
boost_ring_a1,88,2112,2515,499
ryan_music,2654,693,2038,3797
amplify_now_2,139,1883,1555,345
free_followers_now,24,2166,1994,63
news_alert_247,15,4666,280,10
amplify_now_3,22,2193,3171,433
coordinated_acct_5,20,2026,2081,421
auto_retweet_hub,36,2399,1786,39
kenji.codes,2313,149,1188,3171
occasional_poster,397,262,66,1120
weekend_only_c,275,871,109,572
priya_travels,202,155,90,530
quiet_user_44,62,748,158,69
alex_barista,2545,87,885,2469
maria_delgado,536,85,1382,3019
low_key_user9,209,769,225,668
rare_login_x,37,697,11,490
emma_gardens,2444,256,822,1881
echo_chamber_9,87,1825,3929,519
narrative_push_x,149,2047,2000,477
